City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Hambantota,LK,2021-02-05 15:11:29,6.1241,81.1185,78.8,89,90,10.36
274,Beloha,MG,2021-02-05 15:13:22,-25.1667,45.05,84.7,66,93,9.8
275,San Jose,US,2021-02-05 15:09:04,37.3394,-121.895,45.0,70,1,1.59
276,Mahajanga,MG,2021-02-05 15:13:22,-15.7167,46.3167,87.8,66,20,12.66
277,Ruteng,ID,2021-02-05 15:09:10,-8.6136,120.4721,64.0,100,100,1.92
278,Vila,PT,2021-02-05 15:13:23,42.0304,-8.1588,46.99,88,100,7.4
279,Ketchikan,US,2021-02-05 15:11:32,55.3422,-131.6461,37.4,86,1,5.75
280,La Ronge,CA,2021-02-05 15:12:10,55.1001,-105.2842,-25.6,68,4,8.05
281,Pasni,PK,2021-02-05 15:13:23,25.2631,63.471,69.08,55,0,5.37
282,Aitape,PG,2021-02-05 15:11:48,-3.1374,142.3475,77.61,85,100,2.62
283,Severo-Kurilsk,RU,2021-02-05 15:12:04,50.6789,156.125,11.68,84,81,6.13
284,Xifeng,CN,2021-02-05 15:13:23,42.7372,124.7222,19.71,95,31,3.15
285,Olafsvik,IS,2021-02-05 15:13:23,64.8945,-23.7142,38.43,79,100,36.53
286,Srednekolymsk,RU,2021-02-05 15:13:24,67.45,153.6833,-13.97,89,100,6.58
287,Warmbad,NA,2021-02-05 15:13:24,-28.45,18.7333,98.02,9,0,12.68
288,Veseloyarsk,RU,2021-02-05 15:11:32,51.2836,81.1056,29.25,99,100,9.98
289,Kathmandu,NP,2021-02-05 15:09:47,27.7167,85.3167,51.8,71,75,2.3
290,Kaeo,NZ,2021-02-05 15:11:06,-35.1,173.7833,60.01,92,100,1.01
291,Shingu,JP,2021-02-05 15:13:24,33.7333,135.9833,44.92,72,85,6.51
292,Te Anau,NZ,2021-02-05 15:11:07,-45.4167,167.7167,54.43,91,99,0.4
293,Kulhudhuffushi,MV,2021-02-05 15:11:19,6.6221,73.07,82.02,73,99,10.8
