City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
255,Green River,US,41.5286,-109.4662,33.8,40,1,32.21,clear sky
256,Nantucket,US,41.2835,-70.0995,39.2,65,1,23.02,clear sky
257,Zeya,RU,53.75,127.2667,-16.64,82,0,4.29,clear sky
258,Mutsu,JP,41.2894,141.2169,32.0,100,75,4.99,light rain and snow
259,Zhezkazgan,KZ,47.8043,67.7144,16.81,95,69,16.53,broken clouds
260,Maple Creek,CA,49.9168,-109.4848,-5.8,77,100,11.5,overcast clouds
261,El Sauzal,MX,31.9,-116.6833,60.01,86,0,4.0,clear sky
262,Bogorodskoye,RU,56.55,37.8833,-2.43,92,100,10.87,overcast clouds
263,Katsuura,JP,35.1333,140.3,51.01,50,0,3.44,clear sky
264,Jizan,SA,17.3333,42.6667,71.6,78,0,1.43,clear sky
265,Kosovska Mitrovica,XK,42.8833,20.8667,41.0,75,0,2.82,clear sky
266,Tasiilaq,GL,65.6145,-37.6368,33.8,60,75,34.52,light rain
267,Aykhal,RU,66.0,111.5,-32.26,81,4,8.39,clear sky
268,Matara,LK,5.9485,80.5353,73.74,89,97,5.23,overcast clouds
269,Satara,IN,17.6833,73.9833,61.84,37,47,5.37,scattered clouds
270,Pishva,IR,35.308,51.7267,48.2,87,90,11.5,overcast clouds
271,Sinnamary,GF,5.3833,-52.95,77.65,87,100,13.82,overcast clouds
272,Aquiraz,BR,-3.9014,-38.3911,82.4,74,20,8.05,few clouds
273,Binga,ZW,-17.6203,27.3414,72.84,87,91,1.7,light rain
274,Baruun-Urt,MN,46.6806,113.2792,-10.41,83,0,8.93,clear sky
275,Martapura,ID,-3.4167,114.85,78.8,94,75,2.3,broken clouds
276,Kurilsk,RU,45.2333,147.8833,18.45,91,100,12.73,snow
277,Kyrksaeterora,NO,63.2906,9.0891,23.0,74,20,12.66,few clouds
278,Senneterre,CA,48.3835,-77.2328,14.0,62,40,11.5,scattered clouds
279,Chapais,CA,49.7834,-74.8492,14.0,79,90,14.97,light snow
280,Seddon,AU,-37.8068,144.8916,64.99,72,90,12.66,overcast clouds
281,Del Rio,US,29.3627,-100.8968,77.0,9,1,8.05,clear sky
282,Portland,US,45.5234,-122.6762,46.99,87,90,18.41,light rain
283,Bosaso,SO,11.2842,49.1816,73.04,76,32,4.83,scattered clouds
284,Saint George,US,37.1041,-113.5841,60.8,17,1,3.44,clear sky
285,Ippy,CF,6.2679,21.2247,70.7,23,10,7.58,clear sky
286,Salalah,OM,17.0151,54.0924,73.4,68,75,5.75,broken clouds
287,Bardiyah,LY,31.7561,25.0865,61.54,56,49,6.91,scattered clouds
288,Penzance,GB,50.1186,-5.5371,39.99,87,40,9.22,scattered clouds
289,Umea,SE,63.8284,20.2597,5.0,92,0,8.05,clear sky
290,Keita,NE,14.7551,5.7749,67.26,23,68,8.61,broken clouds
291,Providencia,MX,28.7167,-111.5833,82.0,27,12,7.0,few clouds
292,Tonosho,JP,34.4833,134.1833,51.01,76,40,8.05,scattered clouds
293,Moree,AU,-29.4667,149.85,77.0,69,40,9.22,scattered clouds
294,Oum Hadjer,TD,13.2954,19.6966,63.77,25,24,9.55,few clouds
