City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Codajas,BR,75.96,moderate rain,-3.8367,-62.0569,Hotel Tamires
345,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Pirineos
350,Bandarbeyla,SO,75.02,few clouds,9.4942,50.8122,JABIR HOTEL
362,Nelson Bay,AU,79.0,few clouds,-32.7167,152.15,Mantra Nelson Bay
364,Buala,SB,81.1,light rain,-8.145,159.5921,Maringe Lagoon Lodge
368,Santa Isabel Do Rio Negro,BR,76.62,scattered clouds,-0.4139,-65.0192,Hotel GSA
372,Labuhan,ID,79.41,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
373,Adiake,CI,82.4,few clouds,5.2863,-3.304,Monhotel résidence Inn Adiake
374,Lhokseumawe,ID,76.28,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
376,Charters Towers,AU,83.75,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
377,Tual,ID,83.68,moderate rain,-5.6667,132.75,Grand Vilia Hotel
378,Nhulunbuy,AU,84.2,light rain,-12.2333,136.7667,East Arnhem Real Estate
379,Dicabisagan,PH,77.0,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
382,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
383,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
388,Karratha,AU,80.42,few clouds,-20.7377,116.8463,ibis Styles Karratha
389,Kroya,ID,78.64,scattered clouds,-7.6331,109.2461,RUSTANTO Fam
404,Sigli,ID,78.35,broken clouds,5.3848,95.9609,Losmen Dua Mali
411,General Roca,AR,89.6,clear sky,-39.0333,-67.5833,Hotel El Recreo
417,Souillac,MU,77.0,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
425,Vanimo,PG,81.09,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
428,Ejido Hermosillo,MX,77.0,clear sky,32.5121,-114.9238,RANCHO EL MALO (CNL)
435,Itacare,BR,82.4,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
439,Wajir,KE,75.83,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
441,Port Hedland,AU,78.8,clear sky,-20.3167,118.5667,The Esplanade Hotel
443,Jamiltepec,MX,76.69,few clouds,16.2833,-97.8167,Hotel Cádiz
452,Porto Nacional,BR,77.0,broken clouds,-10.7081,-48.4172,Vila Real Hotel
454,Sola,VU,81.93,scattered clouds,-13.8833,167.55,Leumerus Bungalows
457,Vilhena,BR,75.2,scattered clouds,-12.7406,-60.1458,Hotel Mirage
458,Muisne,EC,78.85,few clouds,0.6,-80.0333,Quinta Samay
459,Durban,ZA,75.99,few clouds,-29.8579,31.0292,Hilton Durban
460,Tecoanapa,MX,81.37,few clouds,16.5167,-98.75,Hotel Manglares
470,Kalmunai,LK,76.41,scattered clouds,7.4167,81.8167,VS Villa
473,Cap Malheureux,MU,75.99,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
479,Dalby,AU,86.0,broken clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
493,Guaruja,BR,80.01,scattered clouds,-23.9931,-46.2564,Charme Hotel Guarujá
501,Palizada,MX,82.4,clear sky,18.25,-92.0833,Hotel San Joaquín
